sleep_hours,bedtime_hour,wake_hour,mood,activity_level,energy_level
4.5,2.0,6.5,2,1,Low
5.0,1.5,6.5,2,2,Low
5.5,0.5,6.0,3,2,Low
6.0,23.5,5.5,3,2,Medium
6.5,23.0,6.0,3,3,Medium
7.0,22.5,6.0,4,3,High
7.5,22.0,6.0,4,4,High
8.0,22.0,6.5,5,4,High
8.5,21.5,6.0,5,5,High
9.0,21.0,6.0,4,4,High
3.5,3.0,6.5,1,1,Low
4.0,2.5,7.0,1,2,Low
5.2,1.0,7.0,2,3,Low
6.2,0.0,7.0,3,3,Medium
6.8,23.0,6.8,3,4,Medium
7.2,22.2,6.2,4,4,High
7.8,21.8,6.2,4,5,High
8.2,21.5,6.3,5,5,High
10.0,21.0,7.0,3,1,Medium
11.0,20.5,7.5,2,1,Low
6.0,2.0,8.0,2,4,Low
7.0,1.0,8.0,3,5,Medium
8.0,0.5,8.5,4,5,Medium
6.5,22.5,5.0,3,2,Medium
7.5,22.0,5.5,4,2,High
